verb,tense,input_ipa,predicted_base,predicted_tag,expected_tag_piece,correct
abide,Present 3rd Singular,#əbaɪdz#,#əbaɪd#,3SG-PRES,3SG-PRES,Right
abide,Progressive,#əbaɪdɪŋ#,#əbaɪd#,PROG,PROG,Right
abide,Past,#əbaɪdɪd#,#əbaɪd#,PST/ PST.PTCP,PST,Right
abide,Perfect,#əbaɪdɪd#,#əbaɪd#,PST/ PST.PTCP,PST,Right
abolish,Present 3rd Singular,#əbɑlɪʃɪz#,#əbɑlɪʃ#,3SG-PRES,3SG-PRES,Right
abolish,Progressive,#əbɑlɪʃɪŋ#,#əbɑlɪʃ#,PROG,PROG,Right
abolish,Past,#əbɑlɪʃt#,#əbɑlɪʃ#,PST/ PST.PTCP,PST,Right
abolish,Perfect,#əbɑlɪʃt#,#əbɑlɪʃ#,PST/ PST.PTCP,PST,Right
accept,Present 3rd Singular,#əksɛpts#,#əksɛpt#,3SG-PRES,3SG-PRES,Right
accept,Progressive,#əksɛptɪŋ#,#əksɛpt#,PROG,PROG,Right
accept,Past,#əksɛptɪd#,#əksɛpt#,PST/ PST.PTCP,PST,Right
accept,Perfect,#əksɛptɪd#,#əksɛpt#,PST/ PST.PTCP,PST,Right
acknowledge,Present 3rd Singular,#əknɑlɪdʒɪz#,#əknɑlɪdʒ#,3SG-PRES,3SG-PRES,Right
acknowledge,Progressive,#əknɑlɪdʒɪŋ#,#əknɑlɪdʒ#,PROG,PROG,Right
acknowledge,Past,#əknɑlɪdʒd#,#əknɑlɪdʒ#,PST/ PST.PTCP,PST,Right
acknowledge,Perfect,#əknɑlɪdʒd#,#əknɑlɪdʒ#,PST/ PST.PTCP,PST,Right
adapt,Present 3rd Singular,#ədæpts#,#ədæpt#,3SG-PRES,3SG-PRES,Right
adapt,Progressive,#ədæptɪŋ#,#ədæpt#,PROG,PROG,Right
adapt,Past,#ədæptɪd#,#ədæpt#,PST/ PST.PTCP,PST,Right
adapt,Perfect,#ədæptɪd#,#ədæpt#,PST/ PST.PTCP,PST,Right
admire,Present 3rd Singular,#ədmaɪɹz#,#ədmaɪɹ#,3SG-PRES,3SG-PRES,Right
admire,Progressive,#ədmaɪɹɪŋ#,#ədmaɪɹ#,PROG,PROG,Right
admire,Past,#ədmaɪɹd#,#ədmaɪɹ#,PST/ PST.PTCP,PST,Right
admire,Perfect,#ədmaɪɹd#,#ədmaɪɹ#,PST/ PST.PTCP,PST,Right
advise,Present 3rd Singular,#ədvaɪzɪz#,#ədvaɪz#,3SG-PRES,3SG-PRES,Right
advise,Progressive,#ədvaɪzɪŋ#,#ədvaɪz#,PROG,PROG,Right
advise,Past,#ədvaɪzd#,#ədvaɪz#,PST/ PST.PTCP,PST,Right
advise,Perfect,#ədvaɪzd#,#ədvaɪz#,PST/ PST.PTCP,PST,Right
afford,Present 3rd Singular,#ʌfoɹdz#,#ʌfoɹd#,3SG-PRES,3SG-PRES,Right
afford,Progressive,#ʌfoɹdɪŋ#,#ʌfoɹd#,PROG,PROG,Right
afford,Past,#ʌfoɹdɪd#,#ʌfoɹd#,PST/ PST.PTCP,PST,Right
afford,Perfect,#ʌfoɹdɪd#,#ʌfoɹd#,PST/ PST.PTCP,PST,Right
allow,Present 3rd Singular,#əlaʊz#,#əlaʊ#,3SG-PRES,3SG-PRES,Right
allow,Progressive,#əlaʊɪŋ#,#əlaʊ#,PROG,PROG,Right
allow,Past,#əlaʊd#,#əlaʊ#,PST/ PST.PTCP,PST,Right
allow,Perfect,#əlaʊd#,#əlaʊ#,PST/ PST.PTCP,PST,Right
amuse,Present 3rd Singular,#əmjuzɪz#,#əmjuz#,3SG-PRES,3SG-PRES,Right
amuse,Progressive,#əmjuzɪŋ#,#əmjuz#,PROG,PROG,Right
amuse,Past,#əmjuzd#,#əmjuz#,PST/ PST.PTCP,PST,Right
amuse,Perfect,#əmjuzd#,#əmjuz#,PST/ PST.PTCP,PST,Right
apologize,Present 3rd Singular,#əpɑlədʒaɪzɪz#,#əpɑlədʒaɪz#,3SG-PRES,3SG-PRES,Right
apologize,Progressive,#əpɑlədʒaɪzɪŋ#,#əpɑlədʒaɪz#,PROG,PROG,Right
apologize,Past,#əpɑlədʒaɪzd#,#əpɑlədʒaɪz#,PST/ PST.PTCP,PST,Right
apologize,Perfect,#əpɑlədʒaɪzd#,#əpɑlədʒaɪz#,PST/ PST.PTCP,PST,Right
arrange,Present 3rd Singular,#əreɪndʒɪz#,#əreɪndʒ#,3SG-PRES,3SG-PRES,Right
arrange,Progressive,#əreɪndʒɪŋ#,#əreɪndʒ#,PROG,PROG,Right
arrange,Past,#əreɪndʒd#,#əreɪndʒ#,PST/ PST.PTCP,PST,Right
arrange,Perfect,#əreɪndʒd#,#əreɪndʒ#,PST/ PST.PTCP,PST,Right
arise,Present 3rd Singular,#əɹaɪzɪz#,#əɹaɪz#,3SG-PRES,3SG-PRES,Right
arise,Progressive,#əɹaɪzɪŋ#,#əɹaɪz#,PROG,PROG,Right
arise,Past,#əɹoʊz#,#əraɪz#,PST,PST,Wrong
arise,Perfect,#əɹɪzən#,#əraɪz#,PST.PTCP,PST,Wrong
arrive,Present 3rd Singular,#əɹaɪvz#,#əɹaɪv#,3SG-PRES,3SG-PRES,Right
arrive,Progressive,#əɹaɪvɪŋ#,#əɹaɪv#,PROG,PROG,Right
arrive,Past,#əɹaɪvd#,#əɹaɪv#,PST/ PST.PTCP,PST,Right
arrive,Perfect,#əɹaɪvd#,#əɹaɪv#,PST/ PST.PTCP,PST,Right
assist,Present 3rd Singular,#əsɪsts#,#əsɪst#,3SG-PRES,3SG-PRES,Right
assist,Progressive,#əsɪstɪŋ#,#əsɪst#,PROG,PROG,Right
assist,Past,#əsɪstɪd#,#əsɪst#,PST/ PST.PTCP,PST,Right
assist,Perfect,#əsɪstɪd#,#əsɪst#,PST/ PST.PTCP,PST,Right
ask,Present 3rd Singular,#æsks#,#æsk#,3SG-PRES,3SG-PRES,Right
ask,Progressive,#æskɪŋ#,#æsk#,PROG,PROG,Right
ask,Past,#æskt#,#æsk#,PST/ PST.PTCP,PST,Right
ask,Perfect,#æskt#,#æsk#,PST/ PST.PTCP,PST,Right
associate,Present 3rd Singular,#əsoʊʃieɪts#,#əsoʊʃieɪt#,3SG-PRES,3SG-PRES,Right
associate,Progressive,#əsoʊʃieɪtɪŋ#,#əsoʊʃieɪt#,PROG,PROG,Right
associate,Past,#əsoʊʃieɪtɪd#,#əsoʊʃieɪt#,PST/ PST.PTCP,PST,Right
associate,Perfect,#əsoʊʃieɪtɪd#,#əsoʊʃieɪt#,PST/ PST.PTCP,PST,Right
attend,Present 3rd Singular,#ətɛndz#,#ətɛnd#,3SG-PRES,3SG-PRES,Right
attend,Progressive,#ətɛndɪŋ#,#ətɛnd#,PROG,PROG,Right
attend,Past,#ətɛndɪd#,#ətɛnd#,PST/ PST.PTCP,PST,Right
attend,Perfect,#ətɛndɪd#,#ətɛnd#,PST/ PST.PTCP,PST,Right
awake,Present 3rd Singular,#əweɪks#,#əweɪk#,3SG-PRES,3SG-PRES,Right
awake,Progressive,#əweɪkɪŋ#,#əweɪk#,PROG,PROG,Right
awake,Past,#əwoʊk#,#əweɪk#,PST,PST,Right
awake,Perfect,#əwoʊkən#,#əweɪk#,PST.PTCP,PST,Right
balance,Present 3rd Singular,#bælənsɪz#,#bæləns#,3SG-PRES,3SG-PRES,Right
balance,Progressive,#bælənsɪŋ#,#bæləns#,PROG,PROG,Right
balance,Past,#bælənst#,#bæləns#,PST/ PST.PTCP,PST,Right
balance,Perfect,#bælənst#,#bæləns#,PST/ PST.PTCP,PST,Right
ban,Present 3rd Singular,#bænz#,#bæn#,3SG-PRES,3SG-PRES,Right
ban,Progressive,#bænɪŋ#,#bæn#,PROG,PROG,Right
ban,Past,#bænd#,#bæn#,PST/ PST.PTCP,PST,Right
ban,Perfect,#bænd#,#bæn#,PST/ PST.PTCP,PST,Right
bake,Present 3rd Singular,#beɪks#,#beɪk#,3SG-PRES,3SG-PRES,Right
bake,Progressive,#beɪkɪŋ#,#beɪk#,PROG,PROG,Right
bake,Past,#beɪkt#,#beɪk#,PST/ PST.PTCP,PST,Right
bake,Perfect,#beɪkt#,#beɪk#,PST/ PST.PTCP,PST,Right
bargain,Present 3rd Singular,#bɑɹgənz#,#bɑɹgən#,3SG-PRES,3SG-PRES,Right
bargain,Progressive,#bɑɹgənɪŋ#,#bɑɹgən#,PROG,PROG,Right
bargain,Past,#bɑɹgənd#,#bɑɹgən#,PST/ PST.PTCP,PST,Right
bargain,Perfect,#bɑɹgənd#,#bɑɹgən#,PST/ PST.PTCP,PST,Right
bark,Present 3rd Singular,#bɑɹks#,#bɑɹk#,3SG-PRES,3SG-PRES,Right
bark,Progressive,#bɑɹkɪŋ#,#bɑɹk#,PROG,PROG,Right
bark,Past,#bɑɹkt#,#bɑɹk#,PST/ PST.PTCP,PST,Right
bark,Perfect,#bɑɹkt#,#bɑɹk#,PST/ PST.PTCP,PST,Right
bat,Present 3rd Singular,#bæts#,#bæt#,3SG-PRES,3SG-PRES,Right
bat,Progressive,#bætɪŋ#,#bæt#,PROG,PROG,Right
bat,Past,#bætɪd#,#bæt#,PST/ PST.PTCP,PST,Right
bat,Perfect,#bætɪd#,#bæt#,PST/ PST.PTCP,PST,Right
bathe,Present 3rd Singular,#beɪðz#,#beɪð#,3SG-PRES,3SG-PRES,Right
bathe,Progressive,#beɪðɪŋ#,#beɪð#,PROG,PROG,Right
bathe,Past,#beɪðd#,#beɪð#,PST/ PST.PTCP,PST,Right
bathe,Perfect,#beɪðd#,#beɪð#,PST/ PST.PTCP,PST,Right
be,Present 3rd Singular,#ɪz#,#bi#,PRES,3SG-PRES,Wrong
be,Progressive,#biɪŋ#,#bi#,PROG,PROG,Right
be,Past,#wʌz#,#wʌ#,3SG-PRES,PST,Wrong
be,Perfect,#bɪn#,#bi#,PST.PTCP,PST,Right
beam,Present 3rd Singular,#bimz#,#bim#,3SG-PRES,3SG-PRES,Right
beam,Progressive,#bimɪŋ#,#bim#,PROG,PROG,Right
beam,Past,#bimd#,#bim#,PST/ PST.PTCP,PST,Right
beam,Perfect,#bimd#,#bim#,PST/ PST.PTCP,PST,Right
bear,Present 3rd Singular,#bɛɹz#,#bɛɹ#,3SG-PRES,3SG-PRES,Right
bear,Progressive,#bɛɹɪŋ#,#bɛɹ#,PROG,PROG,Right
bear,Past,#bɔɹ#,#bɛɹ#,PST,PST,Right
bear,Perfect,#bɔɹn#,#bɛɹ#,PST.PTCP,PST,Right
beat,Present 3rd Singular,#bits#,#bit#,3SG-PRES,3SG-PRES,Right
