verb,tense,predicted,gold,correct
abide,Present 3rd Singular,əbaɪdz,əbaɪdz,+
abide,Progressive,əbaɪdɪŋ,əbaɪdɪŋ,+
abide,Past,əbaɪdɪd,əbaɪdɪd,+
abide,Perfect,əbaɪdɪd,əbaɪdɪd,+
abolish,Present 3rd Singular,əbɑlɪʃɪz,əbɑlɪʃɪz,+
abolish,Progressive,əbɑlɪʃɪŋ,əbɑlɪʃɪŋ,+
abolish,Past,əbɑlɪʃt,əbɑlɪʃt,+
abolish,Perfect,əbɑlɪʃt,əbɑlɪʃt,+
accept,Present 3rd Singular,əksɛpts,əksɛpts,+
accept,Progressive,əksɛptɪŋ,əksɛptɪŋ,+
accept,Past,əksɛptɪd,əksɛptɪd,+
accept,Perfect,əksɛptɪd,əksɛptɪd,+
acknowledge,Present 3rd Singular,əknɑlɪdʒɪz,əknɑlɪdʒɪz,+
acknowledge,Progressive,əknɑlɪdʒɪŋ,əknɑlɪdʒɪŋ,+
acknowledge,Past,əknɑlɪdʒd,əknɑlɪdʒd,+
acknowledge,Perfect,əknɑlɪdʒd,əknɑlɪdʒd,+
adapt,Present 3rd Singular,ədæpts,ədæpts,+
adapt,Progressive,ədæptɪŋ,ədæptɪŋ,+
adapt,Past,ədæptɪd,ədæptɪd,+
adapt,Perfect,ədæptɪd,ədæptɪd,+
admire,Present 3rd Singular,ədmaɪɹz,ədmaɪɹz,+
admire,Progressive,ədmaɪɹɪŋ,ədmaɪɹɪŋ,+
admire,Past,ədmaɪɹd,ədmaɪɹd,+
admire,Perfect,ədmaɪɹd,ədmaɪɹd,+
advise,Present 3rd Singular,ədvaɪzɪz,ədvaɪzɪz,+
advise,Progressive,ədvaɪzɪŋ,ədvaɪzɪŋ,+
advise,Past,ədvaɪzd,ədvaɪzd,+
advise,Perfect,ədvaɪzd,ədvaɪzd,+
afford,Present 3rd Singular,ʌfoɹdz,ʌfoɹdz,+
afford,Progressive,ʌfoɹdɪŋ,ʌfoɹdɪŋ,+
afford,Past,ʌfoɹdɪd,ʌfoɹdɪd,+
afford,Perfect,ʌfoɹdɪd,ʌfoɹdɪd,+
allow,Present 3rd Singular,əlaʊz,əlaʊz,+
allow,Progressive,əlaʊɪŋ,əlaʊɪŋ,+
allow,Past,əlaʊd,əlaʊd,+
allow,Perfect,əlaʊd,əlaʊd,+
amuse,Present 3rd Singular,əmjuzɪz,əmjuzɪz,+
amuse,Progressive,əmjuzɪŋ,əmjuzɪŋ,+
amuse,Past,əmjuzd,əmjuzd,+
amuse,Perfect,əmjuzd,əmjuzd,+
apologize,Present 3rd Singular,əpɑlədʒaɪzɪz,əpɑlədʒaɪzɪz,+
apologize,Progressive,əpɑlədʒaɪzɪŋ,əpɑlədʒaɪzɪŋ,+
apologize,Past,əpɑlədʒaɪzd,əpɑlədʒaɪzd,+
apologize,Perfect,əpɑlədʒaɪzd,əpɑlədʒaɪzd,+
